Feature,Importance
BL1-AOI-01-Total-no-of-Ins-Sheet,0.024090284
BL1-EXP-01-Shot3-Expose-Accume,0.022715764
BL1-CLN-01-Air-Knife-Bath-Process-Upper-CDA,0.019894379
BL1-DEV-01-DEVELOPING(2)CHAMBER-SHOWER-FLOW,0.019894379
BL1-CLN-01-EQ-Driving-CDA-Pressure,0.018736888
BL1-AOI-01-Real-tact-time,0.018013456
BL1-DEV-01-DEVELOPER-PROCESSING-TANK1-CONDUCTIVITY,0.017796426
BL1-CLN-01-Air-Knife-Bath-Process-Lower-CDA,0.016638935
BL1-EXP-01-Shot1-Expose-Accume,0.01584316
BL1-OVN-01-PROCESS-OVEN-LOW-TEMP,0.01562613
BL1-CLN-01-AIR-KNIFE-Bath-Process-Exhaust2,0.014540982
BL1-DEV-01-AIR-KNIFE-BLOW-UPPER-SIDE-DRY-AIR-FLOW,0.014106923
BL1-CLN-01-Roll-Brush-Air-Curtain-CDA-Press,0.01403458
BL1-OVN-01-SLOT-IN-OVEN,0.013745207
BL1-DEV-01-AIR-KNIFE-BLOW-LOWER-SIDE-DRY-AIR-FLOW,0.013238805
BL1-DEV-01-DEVELOPER-PROCESSING-TANK2-CONDUCTIVITY,0.013238805
BL1-EXP-01-Shot1-Final-PA1,0.013021775
BL1-CLN-01-SBJ-Bath-SBJ-Upper-CDA-Pressure,0.012877089
BL1-OVN-01-PROCESS-OVEN-UP-TEMP,0.012226
BL1-DEV-01-DEVELOPING(2)CHAMBER-SHOWER-PUMP-SHOWER-PRESSURE,0.012153657
BL1-EXP-01-Shot4-Expose-Accume,0.012081314
BL1-EXP-01-Shot2-Final-Alignment-RRY,0.012081314
BL1-EXP-01-Shot1-Final-Alignment-RLX,0.011936627
BL1-EXP-01-Shot1-Final-Alignment-T,0.011574911
BL1-OVN-01-COOL-TIME,0.011502568
BL1-EXP-01-Shot3-Final-Alignment-FLX,0.011430225
BL1-EXP-01-Shot3-Final-Alignment-FLY,0.011430225
BL1-EXP-01-Shot1-Final-Alignment-FRX,0.010923823
BL1-CLN-01-SBJ-Bath-SBJ-Lower-CDA-Pressure,0.010851479
BL1-AOI-01-Ref-Review-lamp-life-time,0.010851479
BL1-CLN-01-AIR-KNIFE-Bath-Process-Exhaust1,0.010272734
BL1-EXP-01-Shot4-Final-Alignment-FLY,0.010200391
BL1-AOI-01-Carry-time-YYYY,0.010128047
BL1-CLN-01-Glass-Time,0.010055704
BL1-DEV-01-DEVELOPING(1)CHAMBER-SHOWER-PUMP-SHOWER-PRESSURE,0.010055704
BL1-EXP-01-Shot2-Expose-Accume,0.010055704
BL1-EXP-01-Shot4-Final-Alignment-RLY,0.010055704
BL1-COA-01-VCD1_time,0.010055704
BL1-CLN-01-SBJ-Bath-Out-SBJ-CDA-Pressure,0.009911018
BL1-DEV-01-DEVELOPING(1)CHAMBER-SHOWER-FLOW,0.009838675
BL1-CLN-01-Fial-Rinse-&-Air-Knife-Bath-Proc,0.009621645
BL1-EXP-01-Shot2-Final-Alignment-FRY,0.009476959
BL1-EXP-01-Shot2-Final-Alignment-RRX,0.009476959
BL1-DEV-01-DEVELOPER-PROCESSING-TANK1-NUMBER-OF-SUBSTRATE,0.009476959
BL1-EXP-01-Shot1-Final-Alignment-FLX,0.009332272
BL1-EXP-01-Shot1-Final-Alignment-RLY,0.009332272
BL1-EXP-01-Shot1-Final-Alignment-FLY,0.009332272
BL1-EXP-01-Shot2-Final-Alignment-FRX,0.0090429
BL1-OVN-01-SLOT-IN-COOL,0.008970556
BL1-EXP-01-Shot2-Final-Alignment-T,0.008898213
BL1-EXP-01-Shot3-Final-Alignment-Y,0.008898213
BL1-EXP-01-Shot4-Final-Gap-FL,0.008898213
BL1-EXP-01-Shot1-Final-Alignment-RRX,0.008753527
BL1-EXP-01-Shot3-Final-Alignment-RLX,0.008464154
BL1-EXP-01-Shot4-Final-Alignment-RRX,0.008247124
BL1-EXP-01-Shot2-Final-Alignment-Y,0.007668379
BL1-EXP-01-Shot1-Final-Gap-RR,0.007523692
BL1-EXP-01-Shot2-Final-Alignment-FLY,0.007451349
BL1-CLN-01-Fial-Rinse-Bath-Process-Shower-F,0.007379006
BL1-OVN-01-HEAT-TIME,0.007379006
BL1-EXP-01-Shot1-Final-Alignment-RRY,0.007379006
BL1-PHC-01-CP-TIME,0.007379006
BL1-EXP-01-Shot2-Final-Gap-FL,0.00723432
BL1-EXP-01-Shot4-Final-Alignment-RLX,0.007089633
BL1-EXP-01-Shot1-Final-Gap-RL,0.007089633
BL1-EXP-01-Shot3-Final-Alignment-FRY,0.006944947
BL1-EXP-01-Shot4-Final-Gap-RL,0.00680026
BL1-EXP-01-Shot3-Final-Alignment-FRX,0.006727917
BL1-EXP-01-Shot3-Final-Alignment-RRY,0.006727917
BL1-EXP-01-Shot4-Final-Alignment-FRX,0.006655574
BL1-EXP-01-Shot1-Final-Gap-FL,0.006583231
BL1-EXP-01-Shot1-Final-Alignment-X,0.006583231
BL1-EXP-01-Shot4-Final-Alignment-RRY,0.006510888
BL1-EXP-01-Shot2-Final-Gap-RR,0.006293858
BL1-DHC-01-CP-TIME,0.006149172
BL1-EXP-01-Shot3-Final-Alignment-X,0.006149172
BL1-EXP-01-Shot3-Final-Alignment-T,0.006004485
BL1-EXP-01-Shot4-Final-Alignment-Y,0.005932142
BL1-EXP-01-Shot3-Final-Gap-FR,0.005859799
BL1-EXP-01-Shot4-Final-Alignment-T,0.005859799
BL1-EXP-01-Shot4-Final-Alignment-FLX,0.005787456
BL1-DHC-01-HP-TIME,0.005787456
BL1-EXP-01-Shot4-Final-Alignment-FRY,0.005787456
BL1-EXP-01-Shot1-Final-Alignment-Y,0.005715112
BL1-EXP-01-Shot3-Final-Alignment-RRX,0.005642769
BL1-EXP-01-Shot3-Final-Alignment-RLY,0.005642769
BL1-EXP-01-Shot3-Final-Gap-RL,0.005570426
BL1-COA-01-VCD2_time,0.00542574
BL1-EXP-01-Shot2-Final-Alignment-RLY,0.00542574
BL1-EXP-01-Shot1-Final-Alignment-FRY,0.005281053
BL1-EXP-01-Shot2-Final-Alignment-FLX,0.00520871
BL1-EXP-01-Shot4-Final-Gap-RR,0.00520871
BL1-EXP-01-Shot1-Final-Gap-FR,0.005136367
BL1-EXP-01-Shot4-Final-Gap-FR,0.005064024
BL1-EXP-01-Shot3-Final-Gap-RR,0.005064024
BL1-EXP-01-Shot2-Final-Gap-RL,0.004846994
BL1-EXP-01-Shot2-Final-Alignment-RLX,0.004485278
BL1-AOI-01-Trans-Review-lamp-life-time,0.004485278
BL1-EXP-01-Shot2-Final-Alignment-X,0.004412935
BL1-EXP-01-Shot2-Final-Gap-FR,0.004268249
BL1-PHC-01-HP-TIME,0.004195905
BL1-CLN-01-Process-Time,0.004195905
BL1-EXP-01-Shot4-Final-Alignment-X,0.004051219
BL1-EXP-01-Shot1-Final-PA2,0.003544817
BL1-DEV-01-DEVELOPER-PROCESSING-TANK2-NUMBER-OF-SUBSTRATE,0.002893728
BL1-EXP-01-Shot3-Final-Gap-FL,0.002749041
BL1-OVN-01-LD-TIME-1,0.002604355
BL1-EXP-01-Shot2-Final-PA1,0.002532012
BL1-AOI-01-lamp-life-time-Trans,0.002242639
BL1-DUV-01-Lamp2-lifetime,0.001953266
BL1-PHC-01-HP_ID,0.001736237
BL1-DUV-01-Conveyor-Speed,0.001736237
BL1-AOI-01-lamp-life-time-Ref,0.001663894
BL1-EXP-01-Shot3-Final-PA1,0.001519207
BL1-CLN-01-SBJ-Bath-SBJ-IN-Upper/Lower-Show,0.001374521
BL1-DEV-01-DEVELOPER-PROCESSING-TANK1-USE-TIME,0.001302178
BL1-EXP-01-Shot1-Alignment-Retry-Count,0.001302178
BL1-DEV-01-DEVELOPER-PROCESSING-TANK1-TEMPERATURE,0.001085148
BL1-EXP-01-Shot1-Gap-Retry-Count,0.000868118
BL1-EXP-01-Shot2-Final-PA2,0.000868118
BL1-CLN-01-SBJ-Bath-Shower-Flow,0.000795775
BL1-EXP-01-Shot1-Final-PA3,0.000795775
BL1-DEV-01-DEVELOPER-PROCESSING-TANK2-USE-TIME,0.000723432
BL1-EXP-01-Shot3-Alignment-Retry-Count,0.000651089
BL1-EXP-01-Shot4-Alignment-Retry-Count,0.000506402
BL1-EXP-01-Shot4-Gap-Retry-Count,0.000506402
BL1-DHC-01-HP_ID,0.000434059
BL1-COA-01-Dispense_Vol,0.000434059
BL1-EXP-01-Shot3-Final-PA2,0.000434059
BL1-EXP-01-Shot2-Gap-Retry-Count,0.000434059
BL1-CLN-01-Roll-Brush-Shower-Flow,0.000434059
BL1-EXP-01-Shot4-Final-PA2,0.000289373
BL1-CLN-01-SBJ-Bath-SBJ-Out-Shower-Flow,0.000289373
BL1-EXP-01-Shot3-Gap-Retry-Count,0.00021703
BL1-EXP-01-Shot4-Final-PA1,0.00021703
BL1-EXP-01-Shot1-PA-Retry-Count,0.000144686
BL1-DUV-01-Lighting-Lamp,0.000144686
BL1-DUV-01-Lamp1-lifetime,0.000144686
BL1-CLN-01-Tact-Time,0.000144686
BL1-EXP-01-Shot2-Final-PA3,0.000144686
BL1-EXP-01-Shot2-Alignment-Retry-Count,0.000144686
